bowler,runs_conceded,balls_bowled,overs_bowled,economy_rate
Mustafizur Rahman,1792,1353,225.5,7.95
C Sakariya,610,460,76.66666666666667,7.96
KMA Paul,239,180,30.0,7.97
PP Chawla,5179,3895,649.1666666666666,7.98
MC Henriques,1302,979,163.16666666666666,7.98
R Dhawan,922,693,115.5,7.98
AA Chavan,339,255,42.5,7.98
V Shankar,344,258,43.0,8.0
B Stanlake,200,150,25.0,8.0
JA Morkel,2409,1807,301.1666666666667,8.0
Bipul Sharma,581,436,72.66666666666667,8.0
JR Hazlewood,830,622,103.66666666666667,8.01
MA Starc,1175,879,146.5,8.02
MG Johnson,1740,1301,216.83333333333334,8.02
SB Jakati,1474,1101,183.5,8.03
TM Dilshan,368,275,45.833333333333336,8.03
I Sharma,3255,2429,404.8333333333333,8.04
DS Kulkarni,2513,1876,312.6666666666667,8.04
S Aravind,1057,788,131.33333333333334,8.05
AS Roy,191,142,23.666666666666668,8.07
L Ngidi,460,342,57.0,8.07
BA Bhatt,408,303,50.5,8.08
DJ Bravo,4436,3296,549.3333333333334,8.08
P Awana,1046,774,129.0,8.11
SS Cottrell,177,131,21.833333333333332,8.11
AM Nayar,323,239,39.833333333333336,8.11
Kuldeep Yadav,2413,1786,297.6666666666667,8.11
TA Boult,3286,2428,404.6666666666667,8.12
MR Marsh,803,593,98.83333333333333,8.12
PC Valthaty,207,153,25.5,8.12
DR Sams,528,389,64.83333333333333,8.14
R Sai Kishore,259,191,31.833333333333332,8.14
AD Mathews,1095,807,134.5,8.14
S Gopal,1358,1000,166.66666666666666,8.15
GJ Maxwell,1311,965,160.83333333333334,8.15
PWH de Silva,758,557,92.83333333333333,8.17
Parvez Rasool,273,200,33.333333333333336,8.19
MJ McClenaghan,1839,1346,224.33333333333334,8.2
JE Taylor,167,122,20.333333333333332,8.21
N Rana,253,185,30.833333333333332,8.21
Simarjeet Singh,265,193,32.166666666666664,8.24
Mohsin Khan,698,507,84.5,8.26
K Gowtham,825,599,99.83333333333333,8.26
S Tyagi,304,220,36.666666666666664,8.29
Mohammed Shami,3486,2521,420.1666666666667,8.3
KA Pollard,2200,1586,264.3333333333333,8.32
K Kartikeya,334,241,40.166666666666664,8.32
KW Richardson,479,345,57.5,8.33
K Rabada,2652,1907,317.8333333333333,8.34
Mohammed Siraj,2894,2081,346.8333333333333,8.34
R Vinay Kumar,3041,2186,364.3333333333333,8.35
UT Yadav,4442,3190,531.6666666666666,8.35
J Suchith,604,434,72.33333333333333,8.35
DJ Hooda,535,384,64.0,8.36
Shivam Mavi,958,687,114.5,8.37
AB McDonald,263,188,31.333333333333332,8.39
PJ Sangwan,1267,905,150.83333333333334,8.4
YA Abdulla,311,222,37.0,8.41
Kamran Khan,248,177,29.5,8.41
KV Sharma,2130,1520,253.33333333333334,8.41
C de Grandhomme,323,230,38.333333333333336,8.43
V Kohli,371,264,44.0,8.43
LR Shukla,458,326,54.333333333333336,8.43
TG Southee,1774,1262,210.33333333333334,8.43
AK Markram,173,123,20.5,8.44
HV Patel,3215,2284,380.6666666666667,8.45
NT Ellis,514,365,60.833333333333336,8.45
S Lamichhane,297,211,35.166666666666664,8.45
AJ Tye,1005,714,119.0,8.45
RS Bopara,301,213,35.5,8.48
Fazalhaq Farooqi,229,162,27.0,8.48
M Prasidh Krishna,1741,1231,205.16666666666666,8.49
HF Gurney,239,169,28.166666666666668,8.49
BA Stokes,1023,723,120.5,8.49
OC McCoy,255,180,30.0,8.5
JO Holder,1489,1049,174.83333333333334,8.52
MM Sharma,3278,2308,384.6666666666667,8.52
Navdeep Saini,968,682,113.66666666666667,8.52
P Parameswaran,226,159,26.5,8.53
V Pratap Singh,300,211,35.166666666666664,8.53
MS Gony,1317,925,154.16666666666666,8.54
VY Mahesh,511,359,59.833333333333336,8.54
AN Ahmed,515,362,60.333333333333336,8.54
Abhishek Sharma,396,278,46.333333333333336,8.55
KK Ahmed,1918,1345,224.16666666666666,8.56
T Natarajan,2001,1401,233.5,8.57
VG Arora,598,418,69.66666666666667,8.58
S Kaul,1772,1238,206.33333333333334,8.59
AB Agarkar,1174,820,136.66666666666666,8.59
VR Aaron,1527,1065,177.5,8.6
JP Faulkner,1849,1287,214.5,8.62
NLTC Perera,1031,715,119.16666666666667,8.65
PJ Cummins,1976,1370,228.33333333333334,8.65
CR Brathwaite,384,266,44.333333333333336,8.66
Arshdeep Singh,2097,1453,242.16666666666666,8.66
Suyash Sharma,381,264,44.0,8.66
J Little,341,236,39.333333333333336,8.67
SB Bangar,221,153,25.5,8.67
Avesh Khan,2010,1390,231.66666666666666,8.68
JL Pattinson,321,222,37.0,8.68
S Kaushik,304,210,35.0,8.69
LH Ferguson,1451,1002,167.0,8.69
DJG Sammy,354,244,40.666666666666664,8.7
JEC Franklin,225,155,25.833333333333332,8.71
SJ Srivastava,444,306,51.0,8.71
CR Woakes,674,463,77.16666666666667,8.73
D Wiese,447,307,51.166666666666664,8.74
D Pretorius,242,166,27.666666666666668,8.75
J Syed Mohammad,286,196,32.666666666666664,8.76
Swapnil Singh,241,165,27.5,8.76
S Sandeep Warrier,257,176,29.333333333333332,8.76
C Green,675,462,77.0,8.77
Lalit Yadav,430,294,49.0,8.78
Harshit Rana,590,403,67.16666666666667,8.78
JD Unadkat,3219,2194,365.6666666666667,8.8
M Markande,1081,737,122.83333333333333,8.8
SN Thakur,2908,1979,329.8333333333333,8.82
A Nortje,1614,1097,182.83333333333334,8.83
HH Pandya,2196,1485,247.5,8.87
Anureet Singh,636,430,71.66666666666667,8.87
Naveen-ul-Haq,602,407,67.83333333333333,8.87
VRV Singh,549,371,61.833333333333336,8.88
LS Livingstone,395,267,44.5,8.88
LE Plunkett,228,154,25.666666666666668,8.88
DR Smith,825,557,92.83333333333333,8.89
A Ashish Reddy,400,270,45.0,8.89
Azmatullah Omarzai,194,131,21.833333333333332,8.89
JDP Oram,362,244,40.666666666666664,8.9
JP Behrendorff,563,379,63.166666666666664,8.91
Mayank Dagar,205,138,23.0,8.91
RR Raje,214,144,24.0,8.92
BB Sran,767,516,86.0,8.92
AS Rajpoot,844,567,94.5,8.93
PVD Chameera,442,297,49.5,8.93
BCJ Cutting,430,288,48.0,8.96
RP Meredith,621,415,69.16666666666667,8.98
R McLaren,558,372,62.0,9.0
DJ Hussey,485,323,53.833333333333336,9.01
HR Shokeen,320,213,35.5,9.01
M Jansen,732,487,81.16666666666667,9.02
N Thushara,259,172,28.666666666666668,9.03
MA Wood,192,127,21.166666666666668,9.07
KA Jamieson,271,179,29.833333333333332,9.08
Umran Malik,785,519,86.5,9.08
Yash Dayal,933,615,102.5,9.1
Karanveer Singh,323,213,35.5,9.1
Mukesh Choudhary,452,298,49.666666666666664,9.1
Pankaj Singh,472,311,51.833333333333336,9.11
AD Russell,2691,1771,295.1666666666667,9.12
BE Hendricks,239,157,26.166666666666668,9.13
Y Venugopal Rao,338,222,37.0,9.14
JR Hopes,562,369,61.5,9.14
A Mithun,477,312,52.0,9.17
TU Deshpande,1275,831,138.5,9.21
JDS Neesham,342,222,37.0,9.24
T Shamsi,185,120,20.0,9.25
Mohammad Asif,307,199,33.166666666666664,9.26
Akash Madhwal,431,279,46.5,9.27
Joginder Sharma,421,272,45.333333333333336,9.29
Shahbaz Ahmed,850,549,91.5,9.29
CJ Jordan,1111,717,119.5,9.3
KL Nagarkoti,287,185,30.833333333333332,9.31
KR Sen,396,255,42.5,9.32
AS Joseph,707,454,75.66666666666667,9.34
KC Cariappa,349,224,37.333333333333336,9.35
SM Curran,1924,1234,205.66666666666666,9.35
AF Milne,339,217,36.166666666666664,9.37
MP Stoinis,1300,831,138.5,9.39
GC Viljoen,229,146,24.333333333333332,9.41
Kartik Tyagi,720,458,76.33333333333333,9.43
I Udana,286,182,30.333333333333332,9.43
B Laughlin,284,179,29.833333333333332,9.52
S Ladda,225,141,23.5,9.57
Basil Thampi,862,539,89.83333333333333,9.6
TS Mills,349,218,36.333333333333336,9.61
Akash Singh,227,141,23.5,9.66
R Sathish,233,144,24.0,9.71
KM Asif,232,143,23.833333333333332,9.73
Yash Thakur,702,432,72.0,9.75
Vijaykumar Vyshak,396,243,40.5,9.78
Rasikh Salam,341,207,34.5,9.88
G Coetzee,357,216,36.0,9.92
CJ Anderson,525,315,52.5,10.0
R Shukla,217,130,21.666666666666668,10.02
Mukesh Kumar,707,420,70.0,10.1
R Parag,307,181,30.166666666666668,10.18
V Sehwag,236,138,23.0,10.26
K Khejroliya,221,129,21.5,10.28
TK Curran,432,252,42.0,10.29
P Amarnath,241,132,22.0,10.95
Arshad Khan,282,153,25.5,11.06
Akash Deep,324,175,29.166666666666668,11.11
R Shepherd,260,133,22.166666666666668,11.73
